2015,2016,2017,2018,2019,2020
1772257,2710798,3722406,5104562,6747504,8762164
60848,70755,93262,116508,142878,211063
60465,74996,95150,109192,135544,205227
73342,87107,115171,131670,157731,246374
79457,85608,110640,142925,166559,264499
84355,82878,121577,163339,179699,279257
92226,81372,115055,137867,162274,296748
94515,78920,113384,138019,167194,292965
80206,82437,119129,140861,166757,297425
77565,81612,117329,133515,162282,344978
79934,93958,128395,146516,182606,549342
76330,94659,134597,143965,183646,1688376
79298,97306,118467,138565,207490,
